IE_NAME;IE_CODE;IC_GROUP0;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP46;CP_QUANTITY;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
Black-0041;black_0041;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0041;200;;;1,99;USD
Black-0042;black_0042;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0042;200;;;1,99;USD
Black-0043;black_0043;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0043;200;;;1,99;USD
Black-0044;black_0044;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0044;200;;;1,99;USD
Black-0045;black_0045;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0045;200;;;1,99;USD
Black-0046;black_0046;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0046;200;;;1,99;USD
Black-0047;black_0047;Black series;Black;Abstraction;A thin transparent film of 8-10 microns.;Black;Abstraction;30;Lucky Rose;WD-TF-B-0047;200;;;1,99;USD
Black-0048;black_0048;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0048;200;;;1,99;USD
Black-0049;black_0049;Black series;Black;Flowers;A thin transparent film of 8-10 microns.;Black;Flowers;30;Lucky Rose;WD-TF-B-0049;200;;;1,99;USD
Black-0050;black_0050;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0050;200;;;1,99;USD
Black-0051;black_0051;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0051;200;;;1,99;USD
Black-0052;black_0052;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0052;200;;;1,99;USD
Black-0053;black_0053;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0053;200;;;1,99;USD
Black-0054;black_0054;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0054;200;;;1,99;USD
