IE_XML_ID;IE_NAME;IE_SORT;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP50;IP_PROP51;IP_PROP52;IP_PROP53;IP_PROP54;IP_PROP55;IP_PROP56;IP_PROP57;IP_PROP58;IP_PROP59;IP_PROP60;IP_PROP61;IP_PROP62;IP_PROP63;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
108;Coloring-0003;500;;;/upload/iblock/e21/e2194dfb32069c37fdc35420f35d911c.png;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Pattern;A thin transparent film of 8-10 microns.;Coloring;Pattern;14;Lucky Rose;;;;WD-TF-C-0003;;;;;;;;;;;;;;;;;;;Stencils;;;1000;0;0;0;0;;;1.99;USD
109;Coloring-0004;500;;;/upload/iblock/9c6/9c6fa8b5c78108032ff29526c182abda.png;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Fruits;A thin transparent film of 8-10 microns.;Coloring;Fruits;14;Lucky Rose;;;;WD-TF-C-0004;;;;;;;;;;;;;;;;;;;Stencils;;;1000;0;0;0;0;;;1.99;USD
110;Coloring-0005;500;;;/upload/iblock/ff0/ff0424cae5103b8db79ecd9d5bbe0cf3.png;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Floral;A thin transparent film of 8-10 microns.;Coloring;Floral;14;Lucky Rose;;;;WD-TF-C-0005;;;;;;;;;;;;;;;;;;;Stencils;;;1000;0;0;0;0;;;1.99;USD
111;Coloring-0006;500;;;/upload/iblock/812/812781e0e7050d5504a50a48d262da9c.png;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Butterfly;A thin transparent film of 8-10 microns.;Coloring;Butterfly;14;Lucky Rose;;;;WD-TF-C-0006;;;;;;;;;;;;;;;;;;;Stencils;;;1000;0;0;0;0;;;1.99;USD
112;Coloring-0007;500;;;/upload/iblock/c21/c213fe0bfac83a4b3261da6a03e9722b.png;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Geometry;A thin transparent film of 8-10 microns.;Coloring;Geometry;14;Lucky Rose;;;;WD-TF-C-0007;;;;;;;;;;;;;;;;;;;Stencils;;;1000;0;0;0;0;;;1.99;USD
130;Pedicure-0001;500;;;/upload/iblock/833/83304407d89068927da73ada68b28c74.jpg;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Floral;A thin transparent film of 8-10 microns.;Pedicure;Floral;12;Lucky Rose;;;;WD-WF-P-0001;;;;;;;;;;;;;;;;;;;Pedicure;;;1000;0;0;0;0;;;1.99;USD
131;Pedicure-0002;500;;;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Floral;A thin transparent film of 8-10 microns.;Pedicure;Floral;12;Lucky Rose;;;;WD-WF-P-0002;;;;;;;;;;;;;;;;;;;Pedicure;;;1000;0;0;0;0;;;1.99;USD
132;Pedicure-0003;500;;;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Others;A thin transparent film of 8-10 microns.;Pedicure;Others;12;Lucky Rose;;;;WD-WF-P-0003;;;;;;;;;;;;;;;;;;;Pedicure;;;1000;0;0;0;0;;;1.99;USD
133;Pedicure-0004;500;;;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Others;A thin transparent film of 8-10 microns.;Pedicure;Others;12;Lucky Rose;;;;WD-WF-P-0004;;;;;;;;;;;;;;;;;;;Pedicure;;;1000;0;0;0;0;;;1.99;USD
134;Pedicure-0005;500;;;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Floral;A thin transparent film of 8-10 microns.;Pedicure;Floral;12;Lucky Rose;;;;WD-WF-P-0005;;;;;;;;;;;;;;;;;;;Pedicure;;;1000;0;0;0;0;;;1.99;USD
