IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP76;IP_PROP71;IP_PROP75;IP_PROP72;IP_PROP74;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP51;IP_PROP53;IP_PROP59;IP_PROP50;IP_PROP52;IP_PROP57;IP_PROP61;IP_PROP54;IP_PROP56;IP_PROP49;IP_PROP55;IP_PROP58;IP_PROP60;IP_PROP63;IP_PROP62;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2
135;Pedicure-0006;135;Y;;;;;text;;"Colorful water decal on transparent film. 
Can be used on any background.";text;0006_pedicure;500;;;;Colorful;Thematic;Lucky Rose;A thin transparent film of 8-10 microns.;12;Pedicure;Thematic;;;;WD-WF-P-0006;;;;;;;;;;;;;;;;;;;Pedicure;;
136;Pedicure-0007;136;Y;;;;;text;;"Colorful water decal on transparent film. 
Can be used on any background.";text;0007_pedicure;500;;;;Colorful;Floral;Lucky Rose;A thin transparent film of 8-10 microns.;12;Pedicure;Floral;;;;WD-WF-P-0007;;;;;;;;;;;;;;;;;;;Pedicure;;
171;F-0008;171;Y;;;;;text;/upload/iblock/461/461b24b3dca6d6ad7d67e3e9f4c59e14.png;Colorful water decal on transparent film. Use only on white background.;text;0008_f;500;;;;Colorful;Thematic;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Thematic;;;;WD-TF-F-0008;;;;;;;;;;;;;;;;;;;F series;;
172;3D slider-0001;172;Y;;;;;text;/upload/iblock/375/375bd5de80dd7a09af5695c073e009f5.jpg;;text;3d_slider_0001;500;;;;Colorful;Mixed;Lucky Rose;A thin transparent film of 8-10 microns.;30;3D slider;Mixed;;;;WD-TF-3D-0001;;;;;;;;;;;;;;;;;;;3D slider;;
173;F-0009;173;Y;;;;;text;/upload/iblock/af8/af8559795b7d0321f86888fb6f4e46f8.png;Colorful water decal on transparent film. Use only on white background.;text;0009_f;500;;;;Colorful;Thematic;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Thematic;;;;WD-TF-F-0009;;;;;;;;;;;;;;;;;;;F series;;
174;F-0010;174;Y;;;;;text;/upload/iblock/99e/99ea5fa353b3b8a4b44dcecab5aba81d.png;Colorful water decal on transparent film. Use only on white background.;text;0010_f;500;;;;Colorful;Lace;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Lace;;;;WD-TF-F-0010;;;;;;;;;;;;;;;;;;;F series;;
175;F-0011;175;Y;;;;;text;/upload/iblock/edf/edf3cd0d6d613ac294f7e02139300509.png;Colorful water decal on transparent film. Use only on white background.;text;0011_f;500;;;;Colorful;Thematic;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Thematic;;;;WD-TF-F-0011;;;;;;;;;;;;;;;;;;;F series;;
176;F-0012;176;Y;;;;;text;/upload/iblock/486/4869b0cd4a45c5a2b5479cb3c804490e.png;Colorful water decal on transparent film. Use only on white background.;text;0012_f;500;;;;Colorful;Inscriptions;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Inscriptions;;;;WD-TF-F-0012;;;;;;;;;;;;;;;;;;;F series;;
177;F-0013;177;Y;;;;;text;/upload/iblock/d83/d8306efd31869f748ae3783e2ecbeb89.png;Colorful water decal on transparent film. Use only on white background.;text;0013_f;500;;;;Colorful;Flowers;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Flowers;;;;WD-TF-F-0013;;;;;;;;;;;;;;;;;;;F series;;
178;F-0014;178;Y;;;;;text;/upload/iblock/1fd/1fd3fe3c96ad8afe8ad4babf2418767f.png;Colorful water decal on transparent film. Use only on white background.;text;0014_f;500;;;;Colorful;Flowers;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Flowers;;;;WD-TF-F-0014;;;;;;;;;;;;;;;;;;;F series;;
