IE_XML_ID;IE_NAME;IE_SORT;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP50;IP_PROP51;IP_PROP52;IP_PROP53;IP_PROP54;IP_PROP55;IP_PROP56;IP_PROP57;IP_PROP58;IP_PROP59;IP_PROP60;IP_PROP61;IP_PROP62;IP_PROP63;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
189;F-0025;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Fruits;A thin transparent film of 8-10 microns.;F;Fruits;14;Lucky Rose;;;;WD-TF-F-0025;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
190;F-0026;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0026;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
191;F-0027;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Butterfly;A thin transparent film of 8-10 microns.;F;Butterfly;14;Lucky Rose;;;;WD-TF-F-0027;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
192;F-0028;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Animals;A thin transparent film of 8-10 microns.;F;Animals;14;Lucky Rose;;;;WD-TF-F-0028;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
193;F-0029;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Pattern;A thin transparent film of 8-10 microns.;F;Pattern;14;Lucky Rose;;;;WD-TF-F-0029;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
194;F-0030;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0030;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
195;F-0031;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;F;Mixed;14;Lucky Rose;;;;WD-TF-F-0031;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
196;F-0032;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Lace;A thin transparent film of 8-10 microns.;F;Lace;14;Lucky Rose;;;;WD-TF-F-0032;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
197;F-0033;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Others;A thin transparent film of 8-10 microns.;F;Others;21;Lucky Rose;;;;WD-TF-F-0033;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
198;F-0034;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Others;A thin transparent film of 8-10 microns.;F;Others;14;Lucky Rose;;;;WD-TF-F-0034;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
