IE_NAME;IE_ID;IE_CODE;IC_GROUP0;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP46;CP_QUANTITY;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
3D slider-0038;;3d_slider_0038;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;21;Lucky Rose;WD-TF-3D-0038;200;;;1,99;USD
3D slider-0039;;3d_slider_0039;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;21;Lucky Rose;WD-TF-3D-0039;200;;;1,99;USD
3D slider-0040;;3d_slider_0040;3D slider;Colorful;Floral;A thin transparent film of 8-10 microns.;3D slider;Floral;21;Lucky Rose;WD-TF-3D-0040;200;;;1,99;USD
3D slider-0041;;3d_slider_0041;3D slider;Colorful;Inscriptions;A thin transparent film of 8-10 microns.;3D slider;Inscriptions;30;Lucky Rose;WD-TF-3D-0041;200;;;1,99;USD
3D slider-0042;;3d_slider_0042;3D slider;Colorful;Seosons;A thin transparent film of 8-10 microns.;3D slider;Seosons;30;Lucky Rose;WD-TF-3D-0042;200;;;1,99;USD
Aero Black-0001;511;aero_black_0001;Aero series;Black;Geometry;A thin transparent film of 8-10 microns.;Aero Black;Geometry;14;Lucky Rose;WD-TF-A-B-0001;200;;;1,99;USD
Aero Black-0002;512;aero_black_0002;Aero series;Black;Gradient;A thin transparent film of 8-10 microns.;Aero Black;Gradient;14;Lucky Rose;WD-TF-A-B-0002;200;;;1,99;USD
Aero Black-0003;521;aero_black_0003;Aero series;Black;Geometry;A thin transparent film of 8-10 microns.;Aero Black;Geometry;14;Lucky Rose;WD-TF-A-B-0003;200;;;1,99;USD
Aero Black-0004;522;aero_black_0004;Aero series;Black;Geometry;A thin transparent film of 8-10 microns.;Aero Black;Geometry;14;Lucky Rose;WD-TF-A-B-0004;200;;;1,99;USD
Aero Neon-0006;516;aero_neon_0006;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero Neon;Mixed;21;Lucky Rose;WD-TF-A-N-0006;200;;;1,99;USD
